symbol,timeframe,factor,ic,ir,abs_ic,ic_win
DOTUSDT,1d,obv_slope,0.30270754886139495,0.7681528884999724,0.30270754886139495,0.9664694280078896
AVAXUSDT,5min,volatility,-0.045388947092718686,-0.11653857112096097,0.045388947092718686,0.9563253012048193
AVAXUSDT,5min,atr_ratio,0.1294369208838204,0.3314895079123133,0.1294369208838204,0.9612518628912071
AVAXUSDT,5min,rsi,-0.4121109540083402,-1.3279543819538853,0.4121109540083402,0.9765739385065886
AVAXUSDT,5min,volume_ratio,-0.007515437010630847,-0.055875614935145416,0.007515437010630847,0.890190336749634
AVAXUSDT,5min,price_momentum,-0.3230539549502357,-0.8198660255974479,0.3230539549502357,0.9713855421686747
AVAXUSDT,5min,bollinger_position,-0.34854183062880956,-1.0263973914611306,0.34854183062880956,0.9774436090225563
AVAXUSDT,5min,obv_slope,-0.048655055002619164,-0.1054307251275979,0.048655055002619164,0.9728915662650602
AVAXUSDT,15min,volatility,0.09516424991049048,0.23254052748700257,0.09516424991049048,0.9702380952380952
AVAXUSDT,15min,atr_ratio,0.10599399825041247,0.22003450903200641,0.10599399825041247,0.9749631811487481
AVAXUSDT,15min,rsi,-0.4592894479000603,-1.6414184140050878,0.4592894479000603,0.9826338639652678
AVAXUSDT,15min,volume_ratio,0.019198502769224073,0.15091200315380696,0.019198502769224073,0.8596237337192475
AVAXUSDT,15min,price_momentum,-0.4853987647690655,-1.4292388821024427,0.4853987647690655,0.9791666666666666
AVAXUSDT,15min,bollinger_position,-0.4250737008695918,-1.2226554628699051,0.4250737008695918,0.9717682020802377
AVAXUSDT,15min,obv_slope,-0.12985588972431078,-0.2802914396616069,0.12985588972431078,0.9761904761904762
AVAXUSDT,30min,volatility,0.045371972318339095,0.11371519118152039,0.045371972318339095,0.9764705882352941
